Agency,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Population.2016,Population.2017,Population.2018,Population.2019,Population.2020,Population.2021,Population.2022,Population.2023,Population.2024,Crude.Rate.2016,Crude.Rate.2017,Crude.Rate.2018,Crude.Rate.2019,Crude.Rate.2020,Crude.Rate.2021,Crude.Rate.2022,Crude.Rate.2023,Crude.Rate.2024,SMR.2019,SMR.2020,SMR.2021,SMR.2022,SMR.2023,SMR.2024
BoP - Maryland,6,2,9,4,0,0,0,NA,NA,1331,1299,1228,1268,1084,1157,1278,929,NA,45.07888805409466,15.39645881447267,73.28990228013029,31.545741324921135,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Michigan,2,1,4,2,3,3,0,NA,NA,1479,1403,1344,1440,2802,2952,2824,1600,NA,13.522650439486139,7.127583749109053,29.76190476190476,13.88888888888889,10.706638115631693,10.162601626016261,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Minnesota,12,6,9,10,16,8,0,NA,NA,3328,3113,3148,3055,2619,2484,2715,2870,NA,36.05769230769231,19.274012206874396,28.589580686149933,32.733224222585925,61.092019854906454,32.2061191626409,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Missouri,38,35,35,26,27,35,0,NA,NA,1023,1029,1045,1038,891,874,1020,984,NA,371.4565004887586,340.13605442176873,334.9282296650718,250.48169556840077,303.03030303030306,400.4576659038902,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Mississippi,1,4,2,1,5,3,0,NA,NA,5718,5996,6260,5273,3858,3585,3821,4459,NA,1.7488632388947185,6.6711140760507,3.194888178913738,1.8964536317087046,12.960082944530845,8.368200836820083,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - North Carolina,101,123,89,113,98,78,5,NA,NA,5983,5740,5874,5954,5333,3513,3953,4048,NA,168.8116329600535,214.28571428571428,151.51515151515153,189.78837756130335,183.7614850928183,222.0324508966695,12.648621300278268,NA,NA,NA,NA,NA,NA,NA,NA
BoP - New Hampshire,1,0,0,0,0,0,0,NA,NA,1101,972,1101,834,669,805,885,646,NA,9.08265213442325,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - New Jersey,4,3,6,0,4,5,0,NA,NA,5826,5601,5554,5086,3696,3777,3977,4602,NA,6.865774116031583,5.356186395286556,10.803024846957147,0,10.822510822510823,13.238019592268996,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - New York,8,4,2,4,6,4,0,NA,NA,4153,4073,4152,4022,3324,3056,3065,3320,NA,19.26318324103058,9.820770930518046,4.8169556840077075,9.945300845350571,18.050541516245488,13.089005235602095,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Ohio,2,2,3,4,9,5,0,NA,NA,2357,2315,2476,2462,2212,1397,1810,2004,NA,8.485362749257531,8.639308855291576,12.116316639741518,16.246953696181965,40.6871609403255,35.79098067287044,0,NA,NA,NA,NA,NA,NA,NA,NA
